Gene,Attribution_Score
TSPAN6,0.00021317737
TNMD,0.0
DPM1,-0.0011100327
SCYL3,0.00028596533
C1orf112,0.00015689732
FGR,0.0
CFH,-0.0006733431
FUCA2,0.0003447482
GCLC,-0.00080843724
NFYA,0.0
STPG1,-0.00055336265
NIPAL3,5.125602e-05
LAS1L,-5.6461344e-05
ENPP4,0.0
SEMA3F,0.0
CFTR,0.00068316585
ANKIB1,0.00031147266
CYP51A1,-0.00020986758
KRIT1,-0.00026737578
RAD52,0.0
BAD,0.0
LAP3,0.00026906538
CD99,6.890531e-05
HS3ST1,5.9673086e-05
AOC1,-0.00018606994
WNT16,0.0
HECW1,0.0008306944
MAD1L1,0.0
LASP1,0.0003496573
SNX11,-0.00040255935
TMEM176A,0.00045422622
M6PR,0.0
KLHL13,7.153565e-05
CYP26B1,0.0
ICA1,0.000110669236
DBNDD1,-0.00013413813
ALS2,0.0012247355
CASP10,-0.00030644124
CFLAR,-2.902823e-05
TFPI,-0.00036226714
NDUFAF7,-0.00063854136
RBM5,-4.108034e-05
MTMR7,0.0
SLC7A2,4.670467e-05
ARF5,0.0
SARM1,8.497741e-05
POLDIP2,-0.00029111592
PLXND1,0.0
AK2,-0.0005463294
CD38,0.00041810313
FKBP4,0.0
KDM1A,0.000638908
RBM6,4.8523907e-05
CAMKK1,-9.934422e-06
RECQL,-0.00086573046
VPS50,-0.00025750726
HSPB6,0.0
ARHGAP33,0.0
NDUFAB1,0.0
PDK4,0.0
SLC22A16,1.5912207e-06
ZMYND10,0.0
ABCB5,-0.001335527
ARX,0.0
SLC25A13,-0.00014527157
ST7,-4.1657804e-06
CDC27,-0.00084625155
SLC4A1,-5.0105697e-05
CALCR,0.0
HCCS,0.0
DVL2,0.0
PRSS22,0.0
UPF1,0.0
SKAP2,6.948675e-05
SLC25A5,0.0
MCUB,0.0
HOXA11,0.0
POLR2J,0.0
DHX33,0.00037522108
MEOX1,0.0
THSD7A,0.0
LIG3,3.431631e-05
RPAP3,-0.00042706967
ACSM3,0.0
REXO5,0.0
CIAPIN1,0.0
SPPL2B,0.00019323427
FAM214B,0.0
COPZ2,0.0
PRKAR2B,0.0
MSL3,-1.5564987e-05
CREBBP,-0.00044508354
TSPOAP1,9.528014e-05
MPO,0.0
PON1,0.0
GCFC2,-0.000578735
WDR54,0.0001000736
CROT,-0.0007039329
ABCB4,0.0
KMT2E,0.000982538
RHBDD2,-3.5359557e-05
SOX8,0.0
IBTK,-0.00023874913
ZNF195,0.00019048262
MYCBP2,0.0001228108
FBXL3,5.5102668e-05
ITGAL,0.00049718877
PDK2,-2.2156324e-05
ITGA3,-0.00024219046
ZFX,0.00063544133
LAMP2,-0.00017954344
ITGA2B,-0.00037860565
ASB4,-0.00016334721
GDE1,0.00018952154
REX1BD,-0.00041260239
CRLF1,0.0
OSBPL7,0.0
TMEM98,-4.2814947e-05
YBX2,0.0
KRT33A,0.0
MAP3K14,0.0
ABCC8,-0.0016024599
CACNG3,0.0
TMEM132A,3.0657222e-05
AP2B1,0.0
TAC1,0.0
ZNF263,0.0
CX3CL1,6.2199492e-06
SPATA20,0.0
CACNA1G,0.0
TNFRSF12A,0.0
DLX6,-0.0016532481
MAP3K9,-5.6459983e-05
RALA,-0.00019734383
BAIAP2L1,0.00016577788
KDM7A,-7.6188144e-06
ETV1,-1.2034142e-06
AGK,-0.00032830558
ALDH3B1,0.0002899407
TTC22,-8.6135005e-05
PHTF2,4.849637e-05
CCL26,0.0
FARP2,0.00048388843
USH1C,0.0
GGCT,0.0
DBF4,0.00043113454
TBXA2R,-0.00045574625
IFRD1,0.00032492788
LGALS14,-0.000117568394
COX10,-0.00037869668
GTF2IRD1,0.00055588747
PAF1,0.0
VPS41,-0.0005861342
ARHGAP44,-0.00050551264
ELAC2,0.00011004227
SCIN,0.0005151919
ARSD,0.00043056472
PNPLA4,0.00019244631
MYH13,0.0
ADIPOR2,1.4241964e-05
CDKL3,0.00021758745
UPP2,-0.00043403302
PRSS21,0.0
MARK4,1.7224265e-05
PROM1,0.000107817796
CCDC124,-0.000101910744
CEACAM21,0.0
PAFAH1B1,0.0007354093
NOS2,0.0
DNAH9,0.00038221126
KIAA0100,0.00018182372
SLC13A2,0.0
GAS7,0.00053238973
TRAPPC6A,0.0
MATK,-0.00050318503
