Gene,Attribution_Score
NUP188,-0.000101690974
SEPTIN11,-8.170474e-05
CHCHD3,-6.510927e-05
PHF5A,-6.4714106e-05
PI4K2B,-6.117458e-05
ADCY3,-5.9033213e-05
ATP5F1C,-5.768844e-05
STAMBP,-5.273046e-05
TBK1,-5.0683993e-05
SNX11,-4.9006554e-05
HIGD2A,-4.5391724e-05
FABP5,-4.253462e-05
ZDHHC6,-4.1000138e-05
PCBD2,-4.0271632e-05
SNN,-4.0090832e-05
RPL39,-3.9855873e-05
OSBPL8,-3.8482358e-05
ZDHHC15,-3.8217382e-05
CCDC82,-3.7718062e-05
TRIAP1,-3.629431e-05
NOL4L,-3.2280914e-05
TMEM30A,-3.021454e-05
ZDHHC4,-2.9234987e-05
ATP5PB,-2.8755609e-05
NEK1,-2.816545e-05
CLINT1,-2.7521219e-05
CDK5RAP1,-2.7353148e-05
GLCE,-2.7219212e-05
GOLGB1,-2.6686374e-05
MT-CYB,-2.6392318e-05
