Gene,Attribution_Score
PHF21A,0.0021914833
TMTC4,0.0022169948
SEPHS1,0.0022203051
ZNF331,0.0022346473
MLLT10,0.0022408136
FBXW10B,0.0022663204
GGA2,0.0022668238
UGT2B7,0.0022936012
INTU,0.0022994152
MIPOL1,0.002328661
C11orf65,0.0023344602
CRX,0.0023693517
CTNND1,0.0024135925
NOPCHAP1,0.0024263544
MATN4,0.0024402891
NAV2,0.0024624213
EIF4G3,0.0025525198
TSHR,0.002561954
MFSD4B,0.0025917361
ARSG,0.002594902
ZNF483,0.0026344156
PIWIL2,0.0026540835
MAGI2,0.0027740565
DIPK2B,0.002774158
NMNAT3,0.0028143823
FGFR2,0.0028750377
MAP2K6,0.0029417234
FKBP6,0.0031642052
NPIPB13,0.0032151837
BTBD9,0.0034469638
